2020-11-18 08:49:18,2901700,58214,98
2020-11-18 08:49:20,6035400,18458,60
2020-11-18 08:49:22,4273100,83606,24
2020-11-18 08:49:23,657100,15751,80
2020-11-18 08:49:24,3244900,77744,62
2020-11-18 08:49:26,6874000,47191,98
2020-11-18 08:49:28,260200,59827,13
2020-11-18 08:49:29,7543400,7628,85
2020-11-18 08:49:31,1808100,64216,41
2020-11-18 08:49:32,862500,88086,99
2020-11-18 08:49:33,5332400,95922,30
2020-11-18 08:49:34,9665400,25753,68
2020-11-18 08:49:36,2566900,4124,72
2020-11-18 08:49:37,1337600,76664,96
2020-11-18 08:49:38,9175300,55491,25
2020-11-18 08:49:39,4502400,88091,43
2020-11-18 08:49:40,5141600,85571,92
2020-11-18 08:49:41,4577000,78647,12
2020-11-18 08:49:42,4653500,39445,6
2020-11-18 08:49:43,3073200,63628,78
2020-11-18 08:49:44,3126300,7129,39
2020-11-18 08:49:46,9266500,53261,59
2020-11-18 08:49:47,9323100,41914,55
2020-11-18 08:49:48,5058700,74949,16
2020-11-18 08:49:49,5598000,13008,99
2020-11-18 08:49:50,5607500,93691,80
2020-11-18 08:49:51,6889800,3033,68
2020-11-18 08:49:52,3367700,10015,66
2020-11-18 08:49:53,3620500,53785,90
2020-11-18 08:49:54,9184700,27000,18
2020-11-18 08:49:56,4225600,44265,31
2020-11-18 08:49:58,4832900,24296,4
2020-11-18 08:50:00,1322400,38674,38
2020-11-18 08:50:02,7028500,99144,83
2020-11-18 08:50:04,4583400,72141,38
2020-11-18 08:50:06,4415100,47938,22
2020-11-18 08:50:08,976400,73313,43
2020-11-18 08:50:10,4736300,74490,95
2020-11-18 08:50:11,1251500,64731,52
2020-11-18 08:50:12,6315400,73599,74
2020-11-18 08:50:13,1763900,65266,49
2020-11-18 08:50:14,6681100,79008,46
2020-11-18 08:50:16,8644100,12404,24
2020-11-18 08:50:18,5864200,99051,49
2020-11-18 08:50:19,8480000,5765,59
2020-11-18 08:50:21,3253900,58852,97
2020-11-18 08:50:23,4922000,55153,77
2020-11-18 08:50:24,8100300,89878,61
2020-11-18 08:50:26,548800,41360,18
2020-11-18 08:50:27,6850500,87481,67
2020-11-18 08:50:28,8095800,5004,46
2020-11-18 08:50:30,8310900,78288,90
2020-11-18 08:50:32,6755100,17954,58
2020-11-18 08:50:33,6520800,74666,93
2020-11-18 08:50:34,3069200,92259,90
2020-11-18 08:50:36,1041500,9818,65
2020-11-18 08:50:37,7019300,20793,34
2020-11-18 08:50:38,6124700,30463,46
2020-11-18 08:50:39,6444300,47412,97
2020-11-18 08:50:40,960600,90502,46
2020-11-18 08:50:41,8438400,56892,47
2020-11-18 08:50:42,3671400,12359,82
2020-11-18 08:50:43,9498300,89306,58
2020-11-18 08:50:44,5052400,61408,21
2020-11-18 08:50:45,4356300,49977,39
2020-11-18 08:50:46,860800,43377,77
2020-11-18 08:50:47,8771300,56570,26
2020-11-18 08:50:48,5123100,41691,16
2020-11-18 08:50:50,1601800,20684,73
2020-11-18 08:50:52,9675100,60342,10
2020-11-18 08:50:53,5332100,83836,7
2020-11-18 08:50:54,2012900,21277,18
2020-11-18 08:50:55,6458100,94181,45
2020-11-18 08:50:56,9879700,95040,22
2020-11-18 08:50:57,8234400,56137,100
2020-11-18 08:50:59,235100,6476,80
2020-11-18 08:51:00,6745500,53309,35
2020-11-18 08:51:02,2360400,56798,13
2020-11-18 08:51:03,2861600,75857,89
2020-11-18 08:51:04,9399000,4494,94
2020-11-18 08:51:06,4030200,60910,74
2020-11-18 08:51:08,3000600,65128,64
2020-11-18 08:51:09,5402500,67638,74
2020-11-18 08:51:11,7803000,73246,83
2020-11-18 08:51:12,5014600,34200,81
2020-11-18 08:51:14,3204600,64861,45
2020-11-18 08:51:15,8982500,64543,29
2020-11-18 08:51:16,657300,92005,35
2020-11-18 08:51:18,6771200,6490,80
2020-11-18 08:51:19,5872600,23787,39
2020-11-18 08:51:20,8837500,82039,42
2020-11-18 08:51:22,9265200,8593,59
2020-11-18 08:51:23,5108200,27995,2
2020-11-18 08:51:25,5429800,70461,74
2020-11-18 08:51:26,2942200,99256,10
2020-11-18 08:51:27,7602400,61618,56
2020-11-18 08:51:28,8075200,85536,73
2020-11-18 08:51:29,7313000,6990,55
2020-11-18 08:51:30,8615500,60721,91
2020-11-18 08:51:31,8401800,80816,57
2020-11-18 08:51:32,8487700,45774,8
2020-11-18 08:51:33,3745100,24272,98
2020-11-18 08:51:35,4943200,77009,71
2020-11-18 08:51:36,3683600,91922,85
2020-11-18 08:51:37,177800,15857,12
2020-11-18 08:51:38,466100,33800,31
2020-11-18 08:51:39,7830000,54962,60
2020-11-18 08:51:40,2618500,8143,75
2020-11-18 08:51:42,3003300,57130,21
2020-11-18 08:51:43,1694500,75438,69
2020-11-18 08:51:44,4855100,93196,76
2020-11-18 08:51:45,4198500,27058,28
2020-11-18 08:51:46,8062400,94975,13
2020-11-18 08:51:47,6400600,39029,56
2020-11-18 08:51:49,9057800,2016,33
2020-11-18 08:51:50,3461200,11344,3
2020-11-18 08:51:51,406200,14584,40
2020-11-18 08:51:53,3175700,1692,83
2020-11-18 08:51:54,4773700,30089,21
2020-11-18 08:51:55,6361400,46936,46
2020-11-18 08:51:57,9657300,19369,15
2020-11-18 08:51:59,6118200,90708,68
2020-11-18 08:52:01,4525500,71387,85
